"Time","Timestamp","iowait [%]","irq [%]","nice [%]","softirq [%]","steal [%]","system [%]","user [%]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","TimeToFail"
"2023-04-02 11:18:10","1680409090000","0","0","0","0","0.200","0","0.200","328","14","412","216","0.005200000000000001","0","0.0056","0.0549","0","0.0066","0.0066","0","0.0054","0.9520000000000001","0","0.0066","1608352"
"2023-04-02 11:18:20","1680409100000","0","0","0","0","0.100","0.100","0.300","328","14","412","216","0.008","0","0.0565","0.06570000000000001","0","0.0108","0.0108","0","0.28800000000000003","0.962","0","0.0108","1598352"
"2023-04-02 11:18:30","1680409110000","0","0","0","0.400","0.300","0.700","3.60","334","14","412","210","215","0","0","598","0","216","598","0","0","217","0","598","1588352"
"2023-04-02 11:18:40","1680409120000","0","0","0","7.90","7.20","9.10","18.6","343","14","412","200","5040","0","0","2780","0","5060","2780","0","0","5060","0","2780","1578352"
"2023-04-02 11:18:50","1680409130000","0","0","0","6.10","8.10","6.20","11.6","343","14","412","200","2820","0","0","1830","0","2830","1830","0","0","2830","0","1830","1568352"
"2023-04-02 11:19:00","1680409140000","0","0","0","5.20","5.90","5.20","19.7","344","14","412","200","4830","0","0","3250","0","4840","3250","0","0","4840","0","3250","1558352"
"2023-04-02 11:19:10","1680409150000","0","0","0","7.40","11.7","5.50","12.5","344","14","412","199","3180","0","0.0056","1810","0","3190","1800","0","0.0054","3200","0","1800","1548352"
"2023-04-02 11:19:20","1680409160000","0","0","0","6.50","10.3","5.80","16.1","340","14","412","204","4210","0","0.083","2630","0","4220","2630","0","0.07740000000000001","4220","0","2630","1538352"
"2023-04-02 11:19:30","1680409170000","0","0","0","5.60","7.00","4.60","10.8","340","14","412","203","2230","0","0.0112","1470","0","2240","1470","0","0.0054","2240","0","1470","1528352"
"2023-04-02 11:19:40","1680409180000","0","0","0","3.20","3.40","3.60","12.3","340","14","412","203","3590","0","0.0058","2220","0","3600","2220","0","0.0054","3600","0","2220","1518352"
"2023-04-02 11:19:50","1680409190000","0","0","0","5.60","7.00","5","16.9","340","14","412","203","4270","0","0.0282","2930","0","4290","2930","0","0.0216","4290","0","2930","1508352"
"2023-04-02 11:20:00","1680409200000","0","0","0","3.40","3.00","2.20","8.80","340","14","412","203","2840","0","0.0116","1550","0","2850","1550","0","0.004200000000000001","2850","0","1550","1498352"
"2023-04-02 11:20:10","1680409210000","0","0","0","3.70","4.50","3.40","14.1","340","14","412","203","4140","0","0","2560","0","4140","2560","0","0","4140","0","2560","1488352"
"2023-04-02 11:20:20","1680409220000","0","0","0","8.20","10.5","6.60","15.5","340","14","412","203","3030","0","0.06770000000000001","1970","0","3040","1970","0","0.298","3040","0","1970","1478352"
"2023-04-02 11:20:30","1680409230000","0","0","0","4.40","5.90","3.70","14.8","340","14","412","203","4390","0","0","2730","0","4400","2730","0","0","4400","0","2730","1468352"
"2023-04-02 11:20:40","1680409240000","0","0","0","6.80","9.00","4.60","15.8","338","14","412","205","3860","0","0.0058","2520","0","3870","2520","0","0.0054","3870","0","2520","1458352"
"2023-04-02 11:20:50","1680409250000","0","0","0","4.10","3.80","3.60","15.1","338","14","412","205","4430","0","0.0056","2670","0","4440","2670","0","0.0054","4440","0","2670","1448352"
"2023-04-02 11:21:00","1680409260000","0","0","0","3.20","2.60","3.20","8.70","338","14","412","205","2080","0","0.0517","1320","0","2080","1320","0","0.0543","2090","0","1320","1438352"
"2023-04-02 11:21:10","1680409270000","0","0","0","8.10","9.30","6.80","11.6","342","14","412","201","1870","0","0.0116","1340","0","1880","1340","0","0.0096","1890","0","1340","1428352"
"2023-04-02 11:21:20","1680409280000","0","0","0","5.50","6.60","5.80","12.1","340","14","412","203","2430","0","0.0058","1530","0","2450","1530","0","0.0054","2450","0","1530","1418352"
"2023-04-02 11:21:30","1680409290000","0","0","0","2.50","4.00","2.90","6.00","340","14","412","203","1180","0","0","770","0","1190","770","0","0","1190","0","770","1408352"
"2023-04-02 11:21:40","1680409300000","0","0","0","5.20","6.00","4.80","8.90","340","14","412","203","2260","0","0.0112","1450","0","2270","1450","0","0.0054","2270","0","1450","1398352"
"2023-04-02 11:21:50","1680409310000","0","0","0","3.30","4.40","2.40","7.10","340","14","412","203","1680","0","0.0172","1070","0","1690","1070","0","0.015","1690","0","1070","1388352"
"2023-04-02 11:22:00","1680409320000","0","0","0","3.10","4.00","3.00","7.40","336","14","412","207","1670","0","0","1080","0","1680","1080","0","0","1680","0","1080","1378352"
"2023-04-02 11:22:10","1680409330000","0.200","0","0","2.70","6.50","3.00","4.60","336","14","412","207","626","0","0.0112","425","0","632","425","0","0.0054","632","0","425","1368352"
"2023-04-02 11:22:20","1680409340000","0","0","0","1.90","2.70","2.50","7.30","336","14","412","207","1880","0","0.107","1190","0","1880","1190","0","0.334","1880","0","1190","1358352"
"2023-04-02 11:22:30","1680409350000","0","0","0","3.40","4.20","3.90","7.70","344","14","412","199","1750","0","0.0588","1140","0","1760","1140","0","0.0588","1760","0","1140","1348352"
"2023-04-02 11:22:40","1680409360000","0","0","0","2.50","3.10","3.70","9.10","340","14","412","203","2440","0","0.0224","1520","0","2450","1520","0","0.0162","2450","0","1520","1338352"
"2023-04-02 11:22:50","1680409370000","0","0","0","1.60","1.40","2.00","7.20","340","14","412","203","2050","0","0","1290","0","2060","1290","0","0","2060","0","1290","1328352"
"2023-04-02 11:23:00","1680409380000","0","0","0","1.40","1.50","1.50","6.20","344","14","412","199","1650","0","0","1020","0","1650","1020","0","0","1650","0","1020","1318352"
"2023-04-02 11:23:10","1680409390000","0","0","0","1.10","1.10","1.20","5.60","344","14","412","199","1420","0","0.0172","1230","0","1420","1230","0","0.0096","1430","0","1230","1308352"
"2023-04-02 11:23:20","1680409400000","0","0","0","2.30","1.50","2.00","10","344","14","412","199","3480","0","0.0116","1810","0","3480","1810","0","0.0096","3480","0","1810","1298352"
"2023-04-02 11:23:30","1680409410000","0","0","0","2.90","3.30","3.50","7.80","344","14","412","199","2050","0","0.0058","1310","0","2060","1310","0","0.0054","2060","0","1310","1288352"
"2023-04-02 11:23:40","1680409420000","0","0","0","2.80","3.50","2.90","9.60","344","14","412","199","2660","0","0.0112","1680","0","2670","1680","0","0.0054","2670","0","1680","1278352"
"2023-04-02 11:23:50","1680409430000","0","0","0","3.80","3.30","5.10","8.80","340","14","412","203","1750","0","0.0224","1160","0","1760","1160","0","0.0108","1760","0","1160","1268352"
"2023-04-02 11:24:00","1680409440000","0","0","0","4.10","3.20","4.80","11.0","342","14","412","201","2710","0","0.0228","1720","0","2720","1720","0","0.015","2720","0","1720","1258352"
"2023-04-02 11:24:10","1680409450000","0","0","0","3.00","3.30","3.50","10.2","336","14","412","207","2710","0","0.0116","1700","0","2720","1700","0","0.0054","2720","0","1700","1248352"
"2023-04-02 11:24:20","1680409460000","0","0","0","2.60","2.30","2.80","7.60","336","14","412","207","1710","0","0.0565","1100","0","1720","1100","0","0.294","1720","0","1100","1238352"
"2023-04-02 11:24:30","1680409470000","0","0","0","4.20","4.60","4.40","11.6","336","14","412","207","2600","0","0.0224","1650","0","2600","1650","0","0.0108","2610","0","1650","1228352"
"2023-04-02 11:24:40","1680409480000","0.1000","0","0","2.40","2.10","2.80","9.40","344","14.1","413","199","2029.9999999999998","0","0.0112","1270","0","2040","1270","0","0.0108","2040","0","1270","1218352"
"2023-04-02 11:24:50","1680409490000","0","0","0","4.70","5.30","5.50","7.30","344","14.1","413","199","1250","0","0.0056","889","0","1270","889","0","0.0048","1270","0","889","1208352"
"2023-04-02 11:25:00","1680409500000","0","0","0","3.90","5.30","4.80","3.60","344","14.1","413","199","237","0","0.011800000000000001","204","0","244","204","0","0.0096","245","0","204","1198352"
"2023-04-02 11:25:10","1680409510000","0.1000","0","0","4.20","6.80","3.60","6.60","344","14.1","413","199","1090","0","0.0112","712","0","1100","712","0","0.0108","1100","0","712","1188352"
"2023-04-02 11:25:20","1680409520000","0","0","0","3.30","5.30","3.10","8.50","344","14.1","413","199","2160","0","0.0175","1370","0","2170","1370","0","0.0145","2170","0","1370","1178352"
"2023-04-02 11:25:30","1680409530000","0","0","0","3.10","3.70","2.80","8.80","339","14.1","413","203","2180","0","0.0224","1400","0","2180","1400","0","0.0108","2180","0","1400","1168352"
"2023-04-02 11:25:40","1680409540000","0","0","0","1.50","1.80","1.20","6.70","339","14.1","413","203","1990","0","0","1220","0","2000","1220","0","0","2000","0","1220","1158352"
"2023-04-02 11:25:50","1680409550000","0","0","0","3.40","3.20","3.90","14.2","339","14.1","413","203","4200","0","0.0112","2590","0","4210","2590","0","0.0054","4210","0","2590","1148352"
"2023-04-02 11:26:00","1680409560000","0","0","0","4.20","5.70","3.50","3.70","339","14.1","413","203","225","0","0.006","216","0","233","215","0","0.004200000000000001","234","0","215","1138352"
"2023-04-02 11:26:10","1680409570000","0","0","0","0.200","0.300","0.500","1.70","339","14.1","413","203","453","0","0.0056","272","0","453","272","0","0.0054","454","0","272","1128352"
"2023-04-02 11:26:20","1680409580000","0","0","0","1.50","2.70","2.30","2.30","339","14.1","413","203","102","0","0.0565","93.3","0","105","93.3","0","0.29","106","0","93.3","1118352"
"2023-04-02 11:26:30","1680409590000","0","0","0","0","0.100","0.100","0","339","14.1","413","203","4.55","0","0.0132","3.01","0","4.59","2.96","0","0.0108","5.53","0","2.96","1108352"
"2023-04-02 11:26:40","1680409600000","0","0","0","0.400","0.800","1.000","1.70","339","14.1","413","203","455","0","0.0112","297","0","456","297","0","0.0054","457","0","297","1098352"
"2023-04-02 11:26:50","1680409610000","0","0","0","0.600","1.10","0.900","2.90","341","14.1","413","201","556","0","0.0112","340","0","558","340","0","0.0054","559","0","340","1088352"
"2023-04-02 11:27:00","1680409620000","0","0","0","1.40","1.60","1.10","1.10","341","14.1","413","201","59.5","0","0","53.6","0","61.4","53.6","0","0","62.4","0","53.6","1078352"
"2023-04-02 11:27:10","1680409630000","0","0","0","0.800","1.20","1.00","1.50","341","14.1","413","201","50.8","0","0.0228","46.2","0","52.5","46.1","0","0.015","53.4","0","46.1","1068352"
"2023-04-02 11:27:20","1680409640000","0","0","0","0.200","0.200","0.300","3.10","341","14.1","413","202","998","0","0","611","0","998","611","0","0","999","0","611","1058352"
"2023-04-02 11:27:30","1680409650000","0","0","0","1.40","2.20","1.10","1.60","341","14.1","413","202","67.2","0","0","61.4","0","69.4","61.3","0","0","70.4","0","61.3","1048352"
"2023-04-02 11:27:40","1680409660000","0","0","0","1.80","2.80","2.70","4.20","341","14.1","413","202","701","0","0","480","0","706","480","0","0","707","0","480","1038352"
"2023-04-02 11:27:50","1680409670000","0","0","0","0.600","0.800","0.800","2.10","339","14.1","413","204","492","0","0","307","0","494","307","0","0","495","0","307","1028352"
"2023-04-02 11:28:00","1680409680000","0","0","0","0.600","1.00","0.600","0.400","339","14.1","413","204","30","0","0.0174","26.6","0","30.9","26.5","0","0.015","31.9","0","26.5","1018352"
